NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,place,State,Year
"Elmwood CDP, Louisiana",6099,32.3,1.84,372,1286,3704,1690,553,2783,3316,142,69,508,43,3666,3307,359,471,2836,203700,1290,359,85,41,3666,337,311,359,3307,73904,46803,126,3867,345,6099,3741,8,3507,3640,22,23567,Louisiana,2020
"Elton town, Louisiana",1322,52.0,1.99,462,64,765,360,55,477,845,26,0,11,12,758,664,94,573,91,83100,-666666666,615,0,20,758,336,335,94,664,56750,25988,6,431,72,1322,425,0,415,415,22,23620,Louisiana,2020
"Empire CDP, Louisiana",1124,50.6,1.86,279,79,481,295,59,564,560,4,5,17,13,690,604,86,504,100,72900,890,79,0,0,690,91,91,86,604,27708,18766,28,492,377,1124,458,0,357,374,22,23725,Louisiana,2020
"Epps village, Louisiana",851,49.3,1.68,184,12,429,402,46,567,284,4,10,133,109,389,330,59,285,45,39800,738,345,0,0,389,29,29,59,330,31995,18099,26,255,86,553,229,0,225,225,22,24145,Louisiana,2020
"Erath town, Louisiana",2286,35.3,2.55,404,225,1853,258,138,1132,1154,60,46,73,0,995,897,98,533,364,114400,623,695,14,56,995,241,201,98,897,37198,21988,59,1130,390,2286,1071,6,1009,1044,22,24180,Louisiana,2020
"Eros town, Louisiana",204,32.9,2.83,60,2,189,0,11,88,116,0,11,4,1,78,72,6,55,17,83200,386,42,0,0,78,30,30,6,72,21731,10585,9,54,80,204,45,0,45,45,22,24215,Louisiana,2020
"Erwinville CDP, Louisiana",2815,28.8,3.36,591,43,1231,1496,0,1153,1662,32,19,36,1,1062,837,225,511,326,146500,838,504,0,0,1062,191,153,225,837,57522,18347,412,1349,1514,2733,937,0,899,899,22,24250,Louisiana,2020
"Estelle CDP, Louisiana",17330,37.3,3.28,2800,1625,9999,4472,2151,8157,9173,788,290,628,210,5562,5285,277,4399,886,162500,1203,5253,45,45,5562,3142,2912,277,5285,71948,24921,530,9263,2554,17294,8710,42,8314,8588,22,24390,Louisiana,2020
"Estherwood village, Louisiana",676,31.4,3.25,95,41,671,0,5,358,318,21,0,8,49,268,208,60,140,68,82200,593,171,0,25,268,57,57,60,208,36250,23969,51,293,110,664,242,0,239,242,22,24460,Louisiana,2020
"Eunice city, Louisiana",9754,34.0,2.71,1915,486,6091,3245,643,4699,5055,393,153,380,123,4331,3522,809,1792,1730,103000,647,3376,0,110,4331,710,699,809,3522,37411,21116,482,4220,2885,9407,3738,70,3502,3544,22,24565,Louisiana,2020
"Evergreen town, Louisiana",282,47.8,2.47,57,8,221,61,5,166,116,8,4,7,0,125,114,11,64,50,72500,400,91,0,1,125,22,22,11,114,29375,21375,19,104,76,282,85,2,85,85,22,24775,Louisiana,2020
"Farmerville town, Louisiana",3679,41.5,2.76,789,227,1484,1947,90,2108,1571,148,29,105,34,1428,1135,293,732,403,105400,665,833,0,68,1428,206,191,293,1135,31988,18246,111,996,998,3132,885,31,858,885,22,25160,Louisiana,2020
"Fenton village, Louisiana",264,58.8,1.49,41,9,124,139,0,97,167,5,2,1,4,197,177,20,157,20,83900,469,169,0,1,197,88,88,20,177,12452,13203,5,95,108,264,90,4,89,89,22,25335,Louisiana,2020
"Ferriday town, Louisiana",3247,33.0,2.98,498,121,377,2870,0,1021,2226,0,0,121,97,1622,1067,555,588,479,69200,630,1137,0,0,1622,278,278,555,1067,27166,10863,1,914,1245,3180,913,96,913,913,22,25440,Louisiana,2020
"Fifth Ward CDP, Louisiana",1069,28.9,2.33,280,90,971,0,0,652,417,82,0,0,0,534,459,75,234,225,130400,832,290,0,0,534,104,92,75,459,42129,27768,48,654,223,1069,488,25,583,594,22,25545,Louisiana,2020
"Fisher village, Louisiana",198,57.5,2.68,61,12,64,126,3,87,111,8,0,13,1,102,74,28,50,24,75000,708,92,0,0,102,21,21,28,74,25000,13609,7,65,45,198,58,9,58,58,22,25615,Louisiana,2020
"Florien village, Louisiana",646,31.5,2.43,162,28,392,251,10,352,294,44,10,25,23,338,266,72,144,122,89700,668,209,0,15,338,64,64,72,266,31563,16856,36,242,152,646,206,39,201,201,22,25860,Louisiana,2020
"Folsom village, Louisiana",841,37.8,2.91,166,74,688,137,167,446,395,24,0,17,3,351,289,62,210,79,170300,843,254,0,13,351,150,140,62,289,53125,23225,15,370,227,835,355,2,312,349,22,26140,Louisiana,2020
"Fordoche town, Louisiana",953,44.6,2.68,322,5,866,50,10,475,478,28,5,5,25,449,355,94,288,67,123600,843,316,0,8,449,70,63,94,355,52321,25473,17,293,151,953,276,13,265,273,22,26280,Louisiana,2020
"Forest village, Louisiana",357,46.3,3.72,58,18,302,38,20,176,181,4,2,13,1,122,96,26,75,21,85000,650,61,0,2,122,35,29,26,96,31667,17941,8,125,51,357,117,0,80,80,22,26350,Louisiana,2020
"Forest Hill village, Louisiana",1143,42.3,1.93,420,78,729,0,330,638,505,46,6,17,0,669,592,77,512,80,268000,373,476,0,5,669,89,79,77,592,43770,21856,7,298,166,1143,291,0,276,287,22,26420,Louisiana,2020
"Fort Jesup CDP, Louisiana",648,44.1,1.98,136,26,586,62,0,321,327,43,38,14,24,327,327,0,227,100,-666666666,-666666666,163,0,0,327,61,42,0,327,-666666666,18736,0,138,160,648,138,62,120,138,22,26665,Louisiana,2020
"Fort Polk North CDP, Louisiana",2400,23.5,2.29,243,71,1346,597,577,1196,1204,139,23,76,0,1218,1049,169,0,1049,-666666666,990,32,357,239,1218,0,0,169,1049,35615,16894,39,1373,316,2400,448,14,1283,1283,22,26746,Louisiana,2020
"Fort Polk South CDP, Louisiana",8823,21.9,2.85,668,540,5485,1830,1916,5571,3252,619,579,416,0,2750,2346,404,5,2341,-666666666,1019,264,625,992,2750,5,5,404,2346,50878,20788,28,5045,777,6677,1372,4,4485,4897,22,26757,Louisiana,2020
"Franklin city, Louisiana",6844,38.0,2.51,2275,235,2656,3970,76,3221,3623,275,16,211,143,3219,2650,569,1393,1257,80000,743,2467,71,50,3219,523,482,569,2650,39194,22244,229,2693,1403,6708,2464,25,2353,2409,22,27155,Louisiana,2020
"Franklinton town, Louisiana",3709,49.5,1.87,965,222,1875,1732,43,1916,1793,66,76,91,33,2096,1827,269,1139,688,134100,662,1558,72,40,2096,562,562,269,1827,28420,27778,16,1623,868,3428,1607,33,1537,1594,22,27190,Louisiana,2020
"French Settlement village, Louisiana",960,40.8,2.62,190,101,948,0,0,482,478,29,0,45,86,474,367,107,287,80,160200,904,354,0,0,474,175,165,107,367,44863,35667,7,443,193,960,433,4,407,431,22,27435,Louisiana,2020
"Frierson CDP, Louisiana",209,10.9,3.12,19,0,163,46,7,60,149,0,0,0,0,67,67,0,28,39,-666666666,-666666666,22,0,0,67,22,22,0,67,-666666666,13670,22,74,72,209,52,0,52,52,22,27540,Louisiana,2020
"Galliano CDP, Louisiana",7514,40.0,2.40,1740,438,5833,119,1117,3955,3559,254,105,346,107,3349,3118,231,2421,697,128100,787,2391,9,33,3349,1116,1042,231,3118,55565,26506,183,3514,1652,7473,3331,9,3293,3306,22,28065,Louisiana,2020
"Gardere CDP, Louisiana",10629,26.9,2.74,1699,1224,3293,5390,1759,4858,5771,399,77,423,49,4881,3875,1006,1314,2561,202600,921,2227,223,339,4881,947,847,1006,3875,43584,23136,266,6590,2823,10613,6324,84,6010,6148,22,28275,Louisiana,2020
"Garyville CDP, Louisiana",1966,45.2,2.21,626,101,1071,895,29,813,1153,0,56,0,69,1108,890,218,774,116,154600,-666666666,919,0,32,1108,328,328,218,890,44965,33556,78,631,463,1966,553,74,528,553,22,28345,Louisiana,2020
"Georgetown village, Louisiana",446,21.2,3.88,70,22,441,0,2,234,212,40,33,5,0,159,115,44,58,57,71700,411,98,5,30,159,20,20,44,115,48438,17356,19,164,111,442,143,0,143,143,22,28660,Louisiana,2020
"Gibsland town, Louisiana",649,45.3,1.87,250,19,121,523,0,311,338,1,0,101,0,484,344,140,166,178,70000,382,275,0,13,484,27,27,140,344,15705,14784,45,238,378,649,193,6,193,193,22,28835,Louisiana,2020
"Gilbert village, Louisiana",358,59.4,1.70,94,24,259,98,0,146,212,0,6,9,5,255,211,44,103,108,34100,336,143,0,4,255,14,11,44,211,34583,24030,8,112,29,358,104,11,100,104,22,28940,Louisiana,2020
"Gilliam village, Louisiana",109,59.2,2.10,27,11,83,20,6,58,51,0,0,0,5,75,52,23,45,7,112500,-666666666,72,0,3,75,14,8,23,52,-666666666,34015,4,57,5,109,53,3,51,51,22,29010,Louisiana,2020
"Gillis CDP, Louisiana",587,48.4,2.28,158,0,449,92,46,275,312,12,0,16,0,404,258,146,258,0,48200,-666666666,54,0,0,404,131,131,146,258,-666666666,24533,92,319,49,587,227,0,227,227,22,29045,Louisiana,2020
"Glencoe CDP, Louisiana",258,59.1,2.61,111,0,6,252,0,107,151,0,0,0,12,99,99,0,79,20,66200,-666666666,80,0,0,99,6,6,0,99,23958,10798,6,62,0,258,56,0,43,43,22,29150,Louisiana,2020
"Glenmora town, Louisiana",1413,28.1,2.61,230,81,617,664,207,652,761,68,12,47,4,799,541,258,343,198,65300,514,593,0,70,799,85,85,258,541,32865,17354,27,635,469,1413,608,11,580,602,22,29220,Louisiana,2020
"Edgefield village, Louisiana",446,36.7,3.63,53,21,346,92,3,207,239,24,10,0,1,133,123,10,117,6,97200,-666666666,130,3,0,133,94,87,10,123,45313,14309,3,146,88,446,143,0,124,143,22,22850,Louisiana,2020
"Gloster CDP, Louisiana",41,75.0,4.56,41,0,41,0,0,29,12,0,0,0,0,63,9,54,0,9,-666666666,-666666666,54,0,0,63,0,0,54,9,-666666666,17878,0,20,0,41,20,0,20,20,22,29395,Louisiana,2020
"Golden Meadow town, Louisiana",1918,39.9,2.40,514,117,1618,96,44,970,948,44,18,68,14,1038,791,247,570,221,106600,442,809,27,38,1038,309,309,247,791,52563,24740,20,878,320,1918,858,12,768,858,22,29640,Louisiana,2020
"Goldonna village, Louisiana",425,43.9,3.24,83,19,425,0,3,185,240,5,0,1,7,197,131,66,88,43,82100,731,127,2,0,197,4,4,66,131,31917,17252,12,138,163,425,126,13,122,122,22,29745,Louisiana,2020
"Gonzales city, Louisiana",10932,34.1,2.45,1967,1217,3969,5616,1034,5200,5732,95,59,332,173,4752,4348,404,2846,1502,173100,1077,3459,38,0,4752,1529,1243,404,4348,52232,28892,333,5344,1779,10533,5011,18,4808,4963,22,29850,Louisiana,2020
"Good Pine CDP, Louisiana",380,62.5,1.68,158,35,198,182,2,137,243,52,0,0,0,241,159,82,159,0,-666666666,-666666666,195,0,0,241,28,28,82,159,40645,14960,0,121,48,297,119,0,121,121,22,29990,Louisiana,2020
"Grambling city, Louisiana",5168,22.9,2.53,505,367,309,4605,255,2455,2713,240,210,175,14,2189,1820,369,783,1037,155300,698,1338,0,210,2189,331,327,369,1820,23393,12771,60,1700,2247,4567,1640,0,1454,1555,22,30515,Louisiana,2020
"Gramercy town, Louisiana",3249,37.8,2.98,838,213,1184,2026,0,1503,1746,95,67,66,15,1266,1092,174,915,177,163300,935,1033,0,17,1266,522,517,174,1092,65625,29264,47,1634,423,3249,1587,32,1502,1587,22,30550,Louisiana,2020
"Grand Cane village, Louisiana",264,46.7,2.44,43,60,203,59,0,143,121,0,0,0,1,124,108,16,78,30,171900,814,94,0,0,124,16,16,16,108,57143,37954,2,169,7,264,161,0,167,167,22,30690,Louisiana,2020
"Grand Coteau town, Louisiana",1038,53.4,2.02,294,66,336,700,5,430,608,25,6,12,8,595,505,90,173,332,125800,564,291,0,126,595,39,39,90,505,27250,18618,11,372,356,1038,354,2,346,361,22,30760,Louisiana,2020
"Grand Isle town, Louisiana",672,50.0,2.26,211,46,638,6,21,344,328,12,2,11,0,1996,289,1707,166,123,202700,1028,1690,54,40,1996,54,54,1707,289,-666666666,30073,17,340,169,652,298,0,280,323,22,30830,Louisiana,2020
"Grand Point CDP, Louisiana",2798,34.5,3.13,623,143,1881,917,0,1321,1477,110,30,119,27,948,893,55,687,206,243400,442,730,0,0,948,391,340,55,893,88542,30069,50,1400,284,2798,1350,13,1276,1340,22,30900,Louisiana,2020
"Gray CDP, Louisiana",6366,31.2,2.56,997,229,3391,2692,259,3006,3360,335,69,256,23,2772,2484,288,1832,652,87200,940,1408,9,23,2772,737,678,288,2484,44463,23327,50,3182,1102,6319,3123,67,3093,3123,22,31180,Louisiana,2020
"Grayson village, Louisiana",568,31.4,2.51,92,30,431,137,0,312,256,70,0,15,3,283,226,57,135,91,104800,630,150,0,6,283,55,55,57,226,38750,24789,21,205,186,568,184,16,180,180,22,31250,Louisiana,2020
"Greensburg town, Louisiana",1018,33.8,2.37,208,62,381,605,17,522,496,31,4,52,0,420,357,63,127,230,157000,-666666666,173,0,3,420,52,52,63,357,38967,23055,63,394,257,803,331,3,331,331,22,31565,Louisiana,2020
"Greenwood town, Louisiana",3155,44.6,2.34,623,524,1803,1203,79,1601,1554,123,0,139,16,1415,1351,64,1081,270,187100,755,884,14,0,1415,768,738,64,1351,55034,38677,44,1856,124,3155,1812,0,1741,1812,22,31705,Louisiana,2020
"Gretna city, Louisiana",17746,41.4,2.11,2777,1814,9510,5353,3411,8948,8798,407,188,746,166,8732,7891,841,4190,3701,154900,909,5506,810,590,8732,1506,1351,841,7891,41409,28584,581,8367,3030,16661,7768,30,7448,7624,22,31915,Louisiana,2020
"Grosse Tete village, Louisiana",514,54.4,2.17,196,16,388,113,0,250,264,13,5,0,2,318,237,81,169,68,87500,850,207,0,0,318,95,95,81,237,45417,26208,6,231,146,514,225,16,220,220,22,32020,Louisiana,2020
"Gueydan town, Louisiana",1184,43.9,2.54,331,100,983,194,18,512,672,10,5,18,20,645,445,200,334,111,90000,630,533,3,20,645,86,86,200,445,32639,22107,86,474,284,1130,388,3,372,383,22,32055,Louisiana,2020
"Hackberry CDP, Louisiana",1315,51.4,2.26,239,176,1315,0,83,649,666,21,8,6,0,965,582,383,503,79,162600,830,679,0,0,965,116,114,383,582,47969,19378,8,584,139,1308,576,10,574,576,22,32405,Louisiana,2020
"Hahnville CDP, Louisiana",3609,38.1,2.86,806,359,1780,1648,241,1829,1780,12,147,52,37,1343,1263,80,935,328,184200,587,1074,0,160,1343,544,463,80,1263,64883,32434,78,1797,395,3563,1719,0,1678,1719,22,32510,Louisiana,2020
"Hall Summit village, Louisiana",379,36.2,2.73,70,27,270,105,20,211,168,11,10,3,0,197,139,58,132,7,79200,-666666666,86,0,0,197,81,66,58,139,51382,22945,12,161,17,379,149,4,149,149,22,32650,Louisiana,2020
"Hammond city, Louisiana",20557,27.8,2.58,2490,2135,9869,9974,944,9951,10606,584,659,557,406,7983,6806,1177,3031,3775,174400,803,4746,97,621,7983,1532,1391,1177,6806,31250,20648,756,9478,6525,17404,8716,103,7841,8580,22,32755,Louisiana,2020
"Harahan city, Louisiana",9293,44.1,2.42,1439,1720,8652,334,916,4509,4784,196,68,347,93,4058,3777,281,3005,772,249400,1060,3446,117,76,4058,1438,1234,281,3777,70720,40374,104,4947,837,9108,4825,68,4648,4809,22,32930,Louisiana,2020
"Harrisonburg village, Louisiana",262,43.5,2.55,80,24,215,47,0,100,162,0,1,10,3,155,99,56,67,32,79400,258,92,0,9,155,25,25,56,99,25446,18728,0,92,80,252,92,0,86,92,22,33210,Louisiana,2020
"Harvey CDP, Louisiana",20992,37.6,2.64,4246,1837,7794,10177,2333,10393,10599,785,272,577,126,8615,7867,748,4167,3700,151800,1012,5258,371,254,8615,2598,2300,748,7867,45048,25307,588,10035,3660,20708,9360,117,9049,9219,22,33245,Louisiana,2020
"Haughton town, Louisiana",3292,31.6,3.26,553,285,2564,674,54,1599,1693,90,8,73,2,1133,1008,125,828,180,152800,918,720,47,0,1133,566,545,125,1008,48854,30191,46,1680,680,3292,1522,70,1475,1613,22,33420,Louisiana,2020
"Hayes CDP, Louisiana",654,31.6,2.99,191,14,654,0,0,365,289,0,0,101,0,219,219,0,132,87,66700,-666666666,205,0,0,219,41,41,0,219,-666666666,16353,65,355,252,654,290,0,290,290,22,33490,Louisiana,2020
"Haynesville town, Louisiana",3049,36.0,2.54,842,136,752,2249,12,1583,1466,77,190,43,9,1489,1176,313,678,498,76700,534,1196,24,46,1489,145,137,313,1176,24718,13756,66,947,1177,2985,880,192,811,851,22,33525,Louisiana,2020
"Heflin village, Louisiana",260,35.4,2.45,57,22,217,14,22,123,137,20,2,20,2,111,106,5,97,9,98600,-666666666,82,0,0,111,57,53,5,106,53750,27020,4,120,63,260,116,0,111,115,22,33735,Louisiana,2020
"Henderson town, Louisiana",2261,37.1,3.06,743,15,1565,204,665,1234,1027,67,19,96,15,865,739,126,586,153,92000,649,544,50,7,865,110,95,126,739,25870,16348,53,832,598,2235,779,5,742,765,22,33875,Louisiana,2020
"Hessmer village, Louisiana",806,37.3,2.43,211,44,599,196,58,334,472,40,9,19,2,405,332,73,147,185,120800,764,288,5,31,405,63,63,73,332,40161,20443,12,399,269,800,387,2,374,374,22,34015,Louisiana,2020
"Hester CDP, Louisiana",598,32.2,3.81,76,41,598,0,0,271,327,23,0,7,9,166,157,9,157,0,254200,-666666666,150,0,0,166,114,114,9,157,123854,38732,0,303,6,598,303,0,234,303,22,34085,Louisiana,2020
"Hodge village, Louisiana",689,47.5,1.84,260,42,489,159,22,297,392,28,11,4,4,464,375,89,273,102,65200,485,461,0,0,464,25,25,89,375,50313,26033,0,162,151,689,162,0,111,121,22,35100,Louisiana,2020
"Homer town, Louisiana",2875,36.1,2.19,647,84,673,2049,8,1392,1483,108,11,32,18,1649,1311,338,650,661,64300,624,1339,0,26,1649,162,162,338,1311,20075,13567,44,1045,1293,2875,1001,316,934,980,22,35870,Louisiana,2020
"Hornbeck town, Louisiana",763,38.3,3.55,226,29,701,0,13,410,353,11,0,46,3,289,215,74,164,51,108900,873,173,0,0,289,78,78,74,215,57614,28269,18,376,132,763,358,0,346,358,22,36045,Louisiana,2020
"Hosston village, Louisiana",292,53.6,2.58,88,3,248,43,14,141,151,0,0,10,2,152,113,39,101,12,86900,456,96,0,0,152,37,37,39,113,48750,23536,11,149,64,292,138,6,113,113,22,36150,Louisiana,2020
"Houma city, Louisiana",33053,36.3,2.54,5878,2799,21874,7665,1334,16467,16586,1656,337,1148,433,14280,12909,1371,8511,4398,163700,750,11265,211,458,14280,4636,4133,1371,12909,44956,30306,837,14599,6882,32803,13747,307,13359,13661,22,36255,Louisiana,2020
"Ida village, Louisiana",279,41.2,2.07,71,9,270,8,1,145,134,4,18,9,2,174,135,39,107,28,58900,693,138,0,0,174,49,43,39,135,34821,21675,4,110,20,279,106,6,106,106,22,36885,Louisiana,2020
"Independence town, Louisiana",2578,43.4,2.04,578,75,1682,857,195,949,1629,93,35,64,0,1442,1262,180,960,302,95500,717,1185,2,36,1442,780,762,180,1262,24361,20651,101,850,781,2565,749,19,730,736,22,37025,Louisiana,2020
"Inniswold CDP, Louisiana",6760,38.7,2.48,685,1456,4702,1911,122,3762,2998,192,105,42,24,3058,2723,335,1884,839,249500,1295,2123,53,67,3058,967,740,335,2723,61283,45634,83,3398,134,6749,3315,25,3144,3253,22,37270,Louisiana,2020
"Iota town, Louisiana",1752,28.3,3.01,246,130,1607,38,94,768,984,44,24,40,22,676,582,94,377,205,147100,491,469,8,52,676,205,205,94,582,35208,19274,43,583,601,1752,534,7,453,518,22,37410,Louisiana,2020
"Iowa town, Louisiana",3209,32.1,2.72,502,285,1984,1025,56,1364,1845,87,37,105,4,1551,1181,370,678,503,176800,797,1137,19,194,1551,429,422,370,1181,51506,25006,56,1392,636,3209,1336,43,1282,1296,22,37445,Louisiana,2020
"Jackson town, Louisiana",4941,40.3,2.27,984,148,1790,2978,188,3858,1083,5,110,640,5,966,755,211,486,269,95000,660,581,17,3,966,147,106,211,755,27153,6534,108,691,909,1962,573,0,554,579,22,37830,Louisiana,2020
"Jamestown village, Louisiana",107,40.8,1.98,24,17,107,0,0,58,49,1,0,22,0,89,54,35,46,8,113500,-666666666,68,2,0,89,34,33,35,54,56458,28819,0,51,10,107,51,3,48,51,22,37935,Louisiana,2020
"Jeanerette city, Louisiana",5321,38.3,2.68,1131,303,1310,4011,1,2649,2672,126,314,82,0,2271,1985,286,1348,637,106400,751,1624,12,59,2271,614,614,286,1985,42616,21553,497,2142,1589,5261,1645,0,1307,1582,22,38075,Louisiana,2020
"Jean Lafitte town, Louisiana",2329,38.3,3.54,389,131,2228,1,47,1334,995,154,124,46,6,733,656,77,574,82,175300,860,508,17,0,733,257,241,77,656,52083,29209,144,971,373,2309,827,7,801,807,22,38092,Louisiana,2020
"Jefferson CDP, Louisiana",10286,46.7,1.93,2085,1308,7309,2419,926,5020,5266,141,63,391,77,5914,5155,759,2438,2717,189100,842,3107,475,449,5914,1542,1326,759,5155,46405,34135,357,5725,1174,10086,5296,85,5086,5229,22,38145,Louisiana,2020
"Jena town, Louisiana",3400,33.4,2.85,480,467,2614,390,340,1604,1796,155,21,151,53,1436,1045,391,843,202,146800,627,1002,0,91,1436,568,555,391,1045,58267,26571,140,1581,423,2996,1441,0,1430,1441,22,38285,Louisiana,2020
"Jennings city, Louisiana",9874,37.5,2.28,2236,656,6933,2350,112,5001,4873,461,102,339,82,5226,4167,1059,2664,1503,94400,630,4196,70,132,5226,1407,1207,1059,4167,28360,24464,250,3673,2214,9478,3406,47,3303,3340,22,38355,Louisiana,2020
"Jonesboro town, Louisiana",4503,37.6,2.51,1033,195,2147,2250,61,2517,1986,135,51,275,22,1806,1321,485,551,770,74000,539,1440,23,219,1806,136,121,485,1321,26738,14562,31,1068,1120,3323,1037,91,1021,1021,22,38670,Louisiana,2020
"Jonesville town, Louisiana",1377,42.3,1.90,367,147,369,992,0,470,907,17,0,112,29,1103,683,420,367,316,78800,690,688,15,64,1103,135,135,420,683,30536,22980,47,687,467,1298,640,0,635,640,22,38775,Louisiana,2020
"Jordan Hill CDP, Louisiana",114,15.0,3.17,43,0,114,0,0,36,78,0,0,0,0,36,36,0,36,0,-666666666,-666666666,13,0,0,36,0,0,0,36,48261,14527,0,45,0,114,45,0,45,45,22,38845,Louisiana,2020
"Joyce CDP, Louisiana",111,61.2,2.31,26,4,111,0,0,71,40,0,16,6,14,120,48,72,38,10,92100,-666666666,98,0,0,120,0,0,72,48,38214,16524,0,49,37,111,49,0,49,49,22,38880,Louisiana,2020
"Junction City village, Louisiana",699,27.2,2.80,165,75,346,347,61,306,393,44,7,0,3,302,250,52,158,92,61000,460,182,0,7,302,36,36,52,250,24417,12402,0,144,271,699,144,47,144,144,22,38985,Louisiana,2020
"Kaplan city, Louisiana",4463,40.4,2.42,1213,192,3994,418,1,2152,2311,113,42,82,1,2074,1814,260,1020,794,77300,375,1614,13,0,2074,355,355,260,1814,32045,21744,267,1579,1003,4366,1241,12,1261,1300,22,39055,Louisiana,2020
"Keachi town, Louisiana",387,57.1,1.55,188,20,366,16,15,145,242,3,2,9,3,280,250,30,227,23,87100,-666666666,221,0,0,280,170,169,30,250,43537,27787,1,143,62,387,142,0,112,122,22,39085,Louisiana,2020
"Kenner city, Louisiana",66759,36.5,2.73,12261,7999,40292,15706,16890,32076,34683,2790,488,2238,744,27169,24249,2920,14234,10015,190800,987,16068,1361,942,27169,7860,7035,2920,24249,54493,30558,1956,34864,11580,66232,32463,218,31565,32466,22,39475,Louisiana,2020
"Kentwood town, Louisiana",2102,35.5,2.82,584,72,585,1494,15,1082,1020,112,2,110,24,954,714,240,390,324,70300,723,661,10,34,954,126,115,240,714,31845,20610,60,781,793,2010,721,6,715,715,22,39545,Louisiana,2020
"Kilbourne village, Louisiana",274,59.8,1.85,106,12,230,25,0,115,159,0,8,18,6,191,148,43,99,49,154500,656,160,0,0,191,18,18,43,148,23750,17013,3,101,54,274,98,5,95,96,22,39650,Louisiana,2020
"Killian town, Louisiana",1852,65.2,2.15,597,114,1537,77,45,924,928,36,0,24,15,1135,860,275,775,85,157900,1458,829,0,0,1135,453,442,275,860,31875,34315,7,470,577,1828,463,0,441,454,22,39685,Louisiana,2020
"Killona CDP, Louisiana",616,60.8,1.82,275,14,54,562,54,213,403,0,0,0,18,431,339,92,310,29,139700,-666666666,358,18,12,431,198,198,92,339,21721,19994,29,134,100,616,105,35,78,78,22,39720,Louisiana,2020
"Kinder town, Louisiana",2609,34.5,2.28,587,131,2074,355,59,1367,1242,119,0,102,138,1247,1107,140,646,461,128800,791,926,0,154,1247,224,215,140,1107,62639,24726,85,1432,412,2515,1347,0,1330,1347,22,39755,Louisiana,2020
"Kraemer CDP, Louisiana",1041,45.2,2.66,274,0,1041,0,0,565,476,8,118,0,0,399,391,8,372,19,114200,-666666666,288,0,0,399,165,161,8,391,46250,17902,61,457,285,1041,396,0,277,396,22,40210,Louisiana,2020
"Krotz Springs town, Louisiana",732,40.7,2.57,183,16,732,0,0,317,415,17,10,17,0,414,285,129,189,96,-666666666,503,205,0,26,414,46,46,129,285,23882,16870,27,211,315,732,184,0,170,181,22,40280,Louisiana,2020
"Labadieville CDP, Louisiana",1302,48.7,2.24,376,73,1242,51,70,711,591,8,7,32,48,663,580,83,493,87,119400,807,472,0,27,663,153,135,83,580,57045,35371,22,723,161,1272,687,0,690,690,22,40420,Louisiana,2020
"Lacassine CDP, Louisiana",57,75.3,1.39,16,13,57,0,0,10,47,0,0,0,0,41,41,0,23,18,-666666666,-666666666,23,0,18,41,0,0,0,41,-666666666,30000,0,23,0,57,23,0,23,23,22,40595,Louisiana,2020
"Lacombe CDP, Louisiana",7294,52.7,2.27,1311,879,5290,1548,233,3882,3412,265,28,41,85,3777,3178,599,2845,333,195800,-666666666,3329,0,0,3777,1420,1291,599,3178,61513,36861,334,3694,1363,7214,3360,26,3238,3311,22,40665,Louisiana,2020
"Lafayette city, Louisiana",126674,36.4,2.43,18334,22648,79515,38674,4686,60989,65685,3648,2150,4628,1548,57329,50252,7077,29364,20888,197900,899,37647,1543,1176,57329,16360,14643,7077,50252,54139,33362,3451,65453,22522,122129,61984,633,57022,60949,22,40735,Louisiana,2020
"Lafitte CDP, Louisiana",850,50.1,2.27,263,33,737,0,0,451,399,22,21,0,26,386,375,11,285,90,293800,-666666666,310,0,0,386,122,122,11,375,-666666666,247706,15,355,197,850,340,0,303,340,22,40840,Louisiana,2020
"Lafourche Crossing CDP, Louisiana",1982,41.2,3.20,510,237,1785,142,35,958,1024,55,37,51,14,689,620,69,533,87,253600,-666666666,615,7,0,689,332,305,69,620,101786,38413,15,997,111,1982,982,26,956,973,22,40878,Louisiana,2020
"Lake Arthur town, Louisiana",2742,29.5,3.12,550,104,2356,244,115,1236,1506,91,63,64,5,1119,879,240,540,339,72400,607,827,0,82,1119,183,179,240,879,32236,20358,139,992,771,2716,853,25,841,849,22,41050,Louisiana,2020
"Lake Charles city, Louisiana",77832,35.5,2.27,13231,8664,35792,37306,2658,37391,40441,2833,867,2826,751,38180,33093,5087,18061,15032,155700,830,25550,965,2433,38180,9861,9112,5087,33093,44785,30683,2312,37719,16161,75385,35364,1418,33662,34886,22,41155,Louisiana,2020
"Lake Providence town, Louisiana",2586,25.5,2.58,436,180,444,2142,0,815,1771,83,1,15,8,1660,1000,660,475,525,42900,598,1113,9,163,1660,127,97,660,1000,18941,18333,11,603,1447,2578,592,42,563,563,22,41400,Louisiana,2020
