NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,place,State,Year
"Gales Ferry CDP, Connecticut",824,44.0,2.29,185,129,775,42,0,353,471,50,0,23,10,406,353,53,353,0,240500,-666666666,406,0,0,406,187,86,53,353,73679,30397,28,383,23,824,333,10,324,355,09,30190,Connecticut,2015
"Glenville CDP, Connecticut",2478,45.4,2.49,369,627,2129,4,42,1112,1366,103,11,24,10,1067,984,83,698,286,731000,2493,682,185,30,1067,388,85,83,984,112583,76004,110,1276,192,2478,1166,0,1074,1140,09,31520,Connecticut,2015
"Greenwich CDP, Connecticut",13499,40.9,2.43,1855,2905,10969,749,1767,6423,7076,633,102,492,131,6107,5513,594,2569,2944,936500,1614,1976,593,1195,6107,1387,298,594,5513,83824,83701,484,7111,994,13478,6627,118,6149,6420,09,33690,Connecticut,2015
"Lakeville CDP, Connecticut",858,54.5,2.08,46,150,766,91,1,497,361,0,27,46,21,571,399,172,229,170,343500,957,413,0,49,571,158,22,172,399,60905,46345,18,503,12,833,485,38,401,456,09,41830,Connecticut,2015
"Manchester CDP, Connecticut",30883,34.5,2.41,5418,3774,22029,4686,5302,14704,16179,1138,271,1513,162,13383,12732,651,6904,5828,169300,1077,6369,852,2082,13383,5120,876,651,12732,54958,28172,1974,17640,4298,30707,15611,1081,14836,15258,09,44690,Connecticut,2015
"Norfolk CDP, Connecticut",591,52.1,2.09,87,88,528,0,0,286,305,6,8,8,0,346,279,67,161,118,212500,685,160,19,58,346,84,14,67,279,53906,35114,7,286,88,591,279,3,248,267,09,53400,Connecticut,2015
"Old Greenwich CDP, Connecticut",6764,38.9,3.15,158,1505,5852,37,689,3257,3507,310,76,48,48,2243,2142,101,1828,314,1400900,2477,1942,23,8,2243,1297,259,101,2142,207500,109221,168,3003,284,6753,2835,0,2430,2673,09,56900,Connecticut,2015
"Pemberwick CDP, Connecticut",3935,39.3,2.75,727,1156,3320,322,406,1803,2132,101,15,261,59,1618,1431,187,987,444,643900,1875,887,188,352,1618,612,135,187,1431,106644,50625,104,2106,163,3935,1990,0,1761,1939,09,59210,Connecticut,2015
"Putnam CDP, Connecticut",7147,36.1,2.37,1110,501,6822,25,250,3397,3750,200,87,239,44,3270,2965,305,1407,1558,161800,844,1139,279,570,3270,1004,238,305,2965,46099,23615,495,4214,754,7017,3719,194,3552,3597,09,62640,Connecticut,2015
"Riverside CDP, Connecticut",8592,40.4,3.03,520,1790,7378,255,846,4087,4505,382,122,124,47,3003,2827,176,2294,533,1182100,1828,2474,191,46,3003,1523,491,176,2827,154018,79641,288,3896,318,8592,3608,27,3188,3529,09,64530,Connecticut,2015
"Sharon CDP, Connecticut",666,58.0,2.58,143,97,497,22,18,211,455,9,0,17,23,466,232,234,160,72,291900,1100,337,0,88,466,77,33,234,232,,39302,18,301,152,598,283,0,225,254,09,67890,Connecticut,2015
"Somers CDP, Connecticut",1927,49.0,2.58,345,178,1863,51,4,986,941,28,9,0,56,754,736,18,604,132,246200,856,616,26,6,754,471,127,18,736,92976,35562,47,1057,143,1927,1010,38,912,957,09,69150,Connecticut,2015
"Southport CDP, Connecticut",1667,51.9,2.20,125,553,1539,18,58,732,935,18,0,47,0,822,759,63,600,159,721900,,492,63,19,822,334,84,63,759,145859,118510,62,855,55,1667,793,32,713,783,09,71040,Connecticut,2015
"Thomaston CDP, Connecticut",1909,48.3,2.07,561,182,1848,12,48,822,1087,34,31,75,30,964,923,41,497,426,195400,798,483,47,77,964,320,130,41,923,42423,27010,46,1087,206,1900,1041,0,994,1002,09,75660,Connecticut,2015
"Waterford CDP, Connecticut",2948,46.4,2.16,705,372,2638,74,69,1518,1430,29,15,85,31,1426,1315,111,998,317,198200,1017,966,77,41,1426,717,122,111,1315,50250,32103,214,1571,218,2855,1357,46,1300,1331,09,80210,Connecticut,2015
"Watertown CDP, Connecticut",2996,46.5,2.29,371,590,2950,27,96,1510,1486,76,25,77,0,1511,1251,260,947,304,255600,829,1091,30,72,1511,596,124,260,1251,78828,41885,184,1910,160,2991,1726,33,1654,1686,09,80420,Connecticut,2015
"Wilton Center CDP, Connecticut",712,45.6,1.73,52,209,597,10,32,361,351,12,21,5,0,448,394,54,186,208,310900,1717,11,85,8,448,161,42,54,394,73250,59285,22,375,0,682,353,12,331,347,09,86380,Connecticut,2015
"Mashantucket CDP, Connecticut",167,28.8,3.55,18,13,28,9,4,79,88,8,4,4,1,56,47,9,40,7,262500,1188,52,3,1,56,26,1,9,47,84583,29828,13,88,1,162,75,3,73,75,09,45995,Connecticut,2015
"Plantsville CDP, Connecticut",1672,47.3,1.76,489,336,1554,91,84,792,880,87,27,115,66,1035,948,87,536,412,219800,994,269,128,164,1035,362,205,87,948,68056,37881,20,1123,126,1672,1103,25,979,1087,09,60260,Connecticut,2015
"Georgetown CDP, Connecticut",1845,46.1,2.48,160,397,1695,0,83,838,1007,0,12,35,29,869,744,125,543,201,628100,1767,722,0,117,869,413,180,125,744,98750,62702,34,1006,75,1845,972,0,892,954,09,30540,Connecticut,2015
"Essex Village CDP, Connecticut",2196,60.4,2.10,140,710,2031,165,16,1087,1109,36,0,15,50,1225,1046,179,857,189,498600,1053,1018,0,96,1225,499,109,179,1046,89667,67525,49,1157,56,2196,1108,0,1047,1108,09,26370,Connecticut,2015
"Fenwick borough, Connecticut",81,68.1,2.03,11,17,81,0,0,39,42,0,0,0,16,98,40,58,38,2,,-666666666,92,1,0,98,16,1,58,40,169375,116048,2,29,2,81,27,0,24,27,09,27810,Connecticut,2015
"Westbrook Center CDP, Connecticut",2125,55.1,2.04,472,245,2099,19,13,1003,1122,0,3,20,44,1423,982,441,603,379,237500,998,894,15,119,1423,286,12,441,982,43651,41493,218,1333,293,2068,1115,0,1095,1115,09,81750,Connecticut,2015
"Crystal Lake CDP, Connecticut",2220,40.1,3.02,456,322,2150,0,20,1188,1032,114,26,72,10,786,735,51,612,123,295900,1184,759,17,10,786,486,109,51,735,82420,41922,96,1270,40,2220,1174,0,1052,1114,09,18220,Connecticut,2015
"Willimantic CDP, Connecticut",17411,27.3,2.49,2481,748,12140,1228,7202,8152,9259,478,964,550,115,6338,5703,635,2096,3607,143000,777,1897,459,1186,6338,1439,327,635,5703,34444,16705,1310,9382,4038,14320,8038,681,7232,7483,09,85810,Connecticut,2015
"East Haven CDP, Connecticut",29104,42.4,2.57,7970,2682,24362,901,3767,14113,14991,780,362,883,292,12456,11213,1243,7958,3255,209400,1096,7847,809,806,12456,5823,1343,1243,11213,63120,31781,1155,16187,2828,28818,14979,257,14309,14726,09,22980,Connecticut,2015
"Woodmont borough, Connecticut",1563,48.1,2.29,239,370,1485,28,91,777,786,24,26,48,49,770,682,88,505,177,342200,1332,559,53,21,770,362,58,88,682,82143,44347,35,924,42,1563,889,15,849,880,09,88050,Connecticut,2015
"East Hartford CDP, Connecticut",51137,38.2,2.50,10243,4377,25614,13832,14559,24860,26277,1665,527,1488,449,22116,20225,1891,11429,8796,165400,925,11247,932,1978,22116,7879,1549,1891,20225,48369,24961,3478,28152,7794,50449,24668,1474,23374,23816,09,22700,Connecticut,2015
"Salmon Brook CDP, Connecticut",2676,46.9,2.45,433,598,2375,31,34,1347,1329,110,12,80,41,1113,1057,56,877,180,248400,894,801,138,42,1113,623,155,56,1057,95848,40683,113,1465,125,2593,1352,0,1238,1323,09,66455,Connecticut,2015
"West Simsbury CDP, Connecticut",2466,51.1,2.72,149,692,2335,14,5,1198,1268,52,0,15,19,866,855,11,798,57,383700,,831,0,0,866,597,164,11,855,148393,65744,47,1299,12,2327,1252,10,1198,1241,09,83990,Connecticut,2015
"Litchfield borough, Connecticut",1474,52.1,2.16,214,257,1413,0,46,644,830,29,31,10,6,710,583,127,391,192,350000,1018,500,22,44,710,249,74,127,583,74732,43167,38,711,123,1457,673,13,574,660,09,43300,Connecticut,2015
"Northwest Harwinton CDP, Connecticut",3167,46.8,2.75,620,467,3163,4,29,1587,1580,41,66,48,44,1335,1147,188,1057,90,245900,632,1279,0,8,1335,657,184,188,1147,84306,38028,101,1719,301,3134,1618,23,1479,1553,09,55725,Connecticut,2015
"Groton Long Point borough, Connecticut",510,65.2,2.02,34,139,507,0,15,237,273,6,0,0,13,568,252,316,220,32,764700,2000,557,4,0,568,80,25,316,252,100000,67557,14,170,19,510,151,2,140,153,09,34460,Connecticut,2015
"Mansfield Center CDP, Connecticut",1127,37.5,3.15,112,136,866,0,213,564,563,41,0,5,0,422,356,66,283,73,232500,979,365,0,24,422,192,8,66,356,93750,28471,40,574,99,1127,534,0,514,514,09,45120,Connecticut,2015
"Rockville CDP, Connecticut",7459,32.4,2.18,1681,440,5687,1062,702,3502,3957,360,25,411,4,3878,3393,485,987,2406,170000,912,918,149,593,3878,830,123,485,3393,36778,21139,486,3945,1328,7386,3459,313,3286,3429,09,65230,Connecticut,2015
"Shelton city, Connecticut",40783,46.0,2.62,7596,6931,38038,364,2199,19251,21532,987,513,935,484,16471,15392,1079,12392,3000,343200,1198,10890,2242,755,16471,8541,1811,1079,15392,86870,42417,1889,22806,2042,40294,20903,256,19824,20594,09,68100,Connecticut,2015
"Danbury city, Connecticut",83476,36.8,2.77,15138,9804,53491,5911,24456,41072,42404,2338,1432,3481,793,31716,28894,2822,17320,11574,288000,1287,13859,2994,3417,31716,12706,2656,2822,28894,66676,31284,4268,49382,9630,80151,45043,659,42756,44011,09,18430,Connecticut,2015
"Poquonock Bridge CDP, Connecticut",1828,31.0,2.88,533,144,972,167,353,1016,812,16,30,98,23,671,634,37,201,433,140900,1051,314,140,193,671,136,25,37,634,55862,23910,87,1255,398,1828,1158,74,1150,1160,09,61730,Connecticut,2015
"New Haven city, Connecticut",130612,30.3,2.43,20543,12527,56262,44165,36715,61720,68892,4216,2772,5758,828,56673,49771,6902,14374,35397,191800,1100,11141,2725,9860,56673,10044,1686,6902,49771,37192,23527,8533,67208,32480,121961,58556,3259,55684,57512,09,52000,Connecticut,2015
