NAME,B01003_001E,B01002_001E,B25010_001E,B15003_017E,B15003_022E,B02001_002E,B02001_003E,B03003_003E,B01001_002E,B01001_026E,B01001_003E,B01001_007E,B01001_012E,B01001_020E,B25001_001E,B25002_002E,B25002_003E,B25003_002E,B25003_003E,B25077_001E,B25064_001E,B25024_002E,B25024_003E,B25024_004E,B25034_001E,B25081_002E,B25081_003E,B25004_001E,B25003_001E,B19013_001E,B19301_001E,B23025_005E,B23025_002E,B17001_002E,B17001_001E,C24010_001E,B19057_002E,B08303_001E,B08101_001E,state,county,State,Year
"Winn Parish, Louisiana",14855,41.3,2.36,3184,817,9746,4838,88,7851,7004,446,192,501,150,7243,5513,1730,3651,1862,73100,586,4963,5,131,7243,1370,54,1730,5513,31087,17877,331,5264,3466,13121,4920,103,4793,4845,22,127,Louisiana,2015
"East Baton Rouge Parish, Louisiana",444690,33.2,2.57,66564,59953,216303,202484,17142,213266,231424,14936,7708,15760,4104,190343,169120,21223,100963,68157,170500,842,120915,4452,4825,190343,65195,7527,21223,169120,49285,27944,17610,233353,85254,434995,215513,1932,205485,211261,22,033,Louisiana,2015
"Allen Parish, Louisiana",25653,38.5,2.66,6042,1218,18598,5135,1011,14784,10869,844,316,1385,153,9781,8027,1754,5983,2044,81100,522,6762,60,423,9781,2639,144,1754,8027,40948,19868,804,9075,3501,21269,8269,214,7949,8099,22,003,Louisiana,2015
"Madison Parish, Louisiana",11873,34.6,2.55,2606,612,4296,7358,208,5921,5952,476,158,516,122,4884,4060,824,2146,1914,61700,517,3619,12,53,4884,755,29,824,4060,23854,14205,806,4773,3962,10326,3967,332,3848,3891,22,065,Louisiana,2015
"St. James Parish, Louisiana",21650,38.8,2.69,5926,1442,10537,10893,333,10426,11224,670,273,634,154,8650,7964,686,6289,1675,129200,709,6470,151,234,8650,3050,336,686,7964,51107,24071,1111,10146,3841,21345,9035,99,8739,8840,22,093,Louisiana,2015
"Grant Parish, Louisiana",22362,37.6,2.63,4636,931,17891,3218,1395,12523,9839,709,228,1247,209,8982,7197,1785,5323,1874,83200,729,5990,59,41,8982,2285,145,1785,7197,39914,17987,717,7789,3460,18893,7068,218,6781,6959,22,043,Louisiana,2015
"Jefferson Parish, Louisiana",435092,38.7,2.57,80524,49696,277834,115240,58988,211216,223876,13900,4833,15384,4553,189163,168104,21059,103991,64113,172700,900,122575,8221,7778,189163,60975,7697,21059,168104,47947,27127,14998,226079,72319,431581,210346,2126,201630,206239,22,051,Louisiana,2015
"Beauregard Parish, Louisiana",36259,37.5,2.69,8402,2554,29780,4777,1263,18513,17746,1323,551,1175,510,15201,13152,2049,10050,3102,104100,669,10135,78,333,15201,4574,158,2049,13152,45969,22961,868,15377,7137,35308,14287,283,14071,14263,22,011,Louisiana,2015
"Bossier Parish, Louisiana",123403,34.7,2.57,19763,12881,89130,26316,7840,60921,62482,4553,1532,4661,1112,52851,47125,5726,30678,16447,154100,895,33373,1537,1100,52851,19621,1863,5726,47125,52892,27572,3427,63633,17303,120972,56570,498,57644,59234,22,015,Louisiana,2015
"East Feliciana Parish, Louisiana",19855,41.8,2.43,5081,1262,10671,8917,255,10666,9189,512,321,763,226,8138,6937,1201,5660,1277,127100,665,5363,23,68,8138,2557,171,1201,6937,45520,21348,500,7665,3317,17121,7165,63,6806,6998,22,037,Louisiana,2015
"St. John the Baptist Parish, Louisiana",44161,36.0,2.83,9451,3312,18573,23999,2333,21467,22694,1494,617,1384,329,17584,15332,2252,11682,3650,150000,869,13797,240,567,17584,7100,942,2252,15332,50921,22660,1999,21670,7893,43445,19661,170,18965,19185,22,095,Louisiana,2015
"Ouachita Parish, Louisiana",155769,34.7,2.55,26499,15716,93627,58060,3209,74555,81214,5631,2196,5127,1448,65803,57690,8113,34429,23261,123300,689,43650,1098,2397,65803,19421,1720,8113,57690,37754,21770,5621,70256,36312,147145,64578,800,62341,63592,22,073,Louisiana,2015
"Rapides Parish, Louisiana",132225,37.4,2.68,26152,10029,84683,42339,3704,63862,68363,4713,1822,4232,1496,56740,47674,9066,30052,17622,125800,733,39110,850,2388,56740,15949,1219,9066,47674,40734,21671,4922,57882,26645,128313,52620,1165,50526,51464,22,079,Louisiana,2015
"St. Landry Parish, Louisiana",83613,36.6,2.68,21243,4845,47127,34172,1549,40129,43484,3385,1021,2372,913,36047,30683,5364,21374,9309,90800,593,24386,230,1359,36047,9050,711,5364,30683,32625,19156,2036,33199,22970,82279,31154,314,29560,30426,22,097,Louisiana,2015
"Tangipahoa Parish, Louisiana",125486,34.4,2.68,23845,10660,84190,37289,4785,60890,64596,4624,2175,4227,1406,51938,45483,6455,30751,14732,137500,752,31433,710,3351,51938,17100,1505,6455,45483,41302,21671,6402,60120,26962,121627,53685,554,51105,52637,22,105,Louisiana,2015
